iter	Passed	Remaining
0	170	169845
1	175	87432
2	180	59875
3	184	45901
4	193	38441
5	198	32894
6	205	29199
7	211	26244
8	219	24206
9	223	22167
10	226	20387
11	229	18862
12	234	17772
13	236	16656
14	238	15682
15	240	14808
16	242	14025
17	244	13334
18	249	12873
19	251	12320
20	254	11884
21	257	11425
22	258	10997
23	262	10669
24	264	10327
25	266	9984
26	267	9652
27	269	9355
28	271	9074
29	272	8813
30	273	8562
31	277	8402
32	279	8185
33	280	7982
34	282	7785
35	283	7601
36	285	7427
37	286	7265
38	288	7114
39	292	7017
40	294	6877
41	295	6742
42	297	6610
43	298	6487
44	300	6368
45	301	6256
46	303	6149
47	306	6082
48	308	5983
49	309	5886
50	311	5791
51	312	5699
52	314	5612
53	315	5531
54	317	5452
55	321	5415
56	323	5345
57	325	5279
58	326	5214
59	328	5147
60	330	5081
61	331	5016
62	332	4949
63	335	4904
64	337	4855
65	339	4798
66	340	4741
67	341	4684
68	343	4628
69	344	4572
70	345	4519
71	346	4466
72	347	4415
73	350	4386
74	352	4345
75	353	4303
76	355	4259
77	356	4216
78	358	4175
79	359	4133
80	360	4091
81	361	4050
82	362	4004
83	366	3992
84	367	3953
85	368	3916
86	369	3880
87	370	3844
88	372	3809
89	373	3774
90	374	3741
91	375	3708
92	376	3675
93	379	3661
94	381	3632
95	382	3601
96	384	3581
97	386	3553
98	387	3526
99	388	3500
100	390	3473
101	391	3446
102	396	3453
103	398	3433
104	401	3419
105	403	3399
106	405	3381
107	406	3361
108	411	3365
109	413	3347
110	416	3332
111	417	3310
112	418	3287
113	419	3263
114	421	3241
115	422	3218
116	424	3205
117	427	3193
118	428	3175
119	430	3156
120	432	3142
121	433	3120
122	434	3100
123	435	3080
124	437	3059
125	440	3052
126	441	3036
127	442	3017
128	444	2998
129	445	2980
130	446	2962
131	447	2944
132	448	2926
133	450	2909
134	451	2891
135	452	2874
136	455	2871
137	457	2854
138	458	2838
139	459	2823
140	460	2807
141	461	2789
142	462	2773
143	463	2758
144	465	2743
145	466	2728
146	467	2714
147	470	2709
148	471	2695
149	473	2682
150	474	2669
151	475	2655
152	477	2641
153	478	2628
154	479	2614
155	480	2601
156	482	2588
157	485	2586
158	486	2575
159	488	2562
160	488	2547
161	490	2535
162	491	2522
163	492	2510
164	494	2501
165	496	2492
166	499	2493
167	501	2483
168	502	2473
169	504	2462
170	505	2452
171	507	2443
172	508	2432
173	510	2423
174	513	2421
175	516	2415
176	517	2406
177	518	2396
178	520	2387
179	522	2378
180	523	2370
181	525	2361
182	528	2359
183	531	2358
184	533	2351
185	535	2344
186	537	2338
187	539	2329
188	541	2321
189	544	2322
190	547	2317
191	549	2310
192	550	2303
193	552	2294
194	553	2286
195	555	2278
196	558	2277
197	561	2272
198	562	2265
199	565	2261
200	567	2254
201	568	2245
202	569	2237
203	571	2230
204	575	2233
205	577	2226
206	579	2219
207	580	2211
208	582	2204
209	583	2196
210	585	2189
211	587	2182
212	590	2181
213	591	2173
214	593	2166
215	595	2159
216	596	2152
217	597	2144
218	599	2137
219	600	2130
220	604	2129
221	606	2125
222	608	2118
223	609	2111
224	611	2104
225	612	2098
226	614	2091
227	616	2086
228	620	2088
229	622	2085
230	624	2080
231	627	2075
232	628	2069
233	630	2062
234	631	2055
235	636	2059
236	638	2054
237	640	2049
238	641	2042
239	642	2035
240	644	2028
241	645	2021
242	646	2013
243	649	2013
244	651	2006
245	652	2000
246	654	1994
247	655	1988
248	657	1982
249	658	1975
250	659	1968
251	660	1961
252	664	1960
253	666	1956
254	667	1949
255	668	1942
256	669	1936
